Incident Date,Incident Time,FlightID,Aircraft,Altitude,Airport,Laser Color,Injury,City,State
2022-01-01,0105,AAL2305,A321,28000,ZMP,Blue,No,Dodge Center,Minnesota
2022-01-01,0109,EJA145,GLEX,2000,PBI,Green,No,West Palm Beach,Florida
2022-01-01,0118,DAL1013,A320,1000,LAX,Green,No,Los Angeles,California
2022-01-01,0120,CFS7686,C208,700,PDX,Green And Red,No,Portland,Oregon
2022-01-01,0125,N500MH,SR20,2000,TOA,Green,No,Torrance,California
2022-01-01,0130,N3386E,C172,800,MYF,Green,No,San Diego,California
2022-01-01,0218,JCM458,BE40,1200,BNA,Green,No,Nashville,Tennessee
2022-01-01,0225,SWA1499,B737,2500,SAN,Green,No,San Diego,California
2022-01-01,0320,HAL40,A21N,30000,ZSE,Green,No,Auburn,Washington
2022-01-01,0330,NKS817,A320,2000,MSY,Green,No,New Orleans,Louisiana
2022-01-01,0348,RPA4618,E75L,3500,GSO,Green,No,Greensboro,North Carolina
2022-01-01,0355,SKW3603,CRJ9,5800,M98,Blue,No,Minneapolis,Minnesota
2022-01-01,0357,ASA534,B738,5000,NCT,Green,No,Mather,California
2022-01-01,0415,SWA685,B737,4000,NCT,Green,No,Mather,California
2022-01-01,0450,SKW3669,E75L,12000,ZLC,Green,No,Salt Lake City,Utah
2022-01-01,0503,UAL410,B737,2000,SNA,Green,No,Santa Ana,California
2022-01-01,0511,ALL162,A21N,2300,LAX,Green,No,Los Angeles,California
2022-01-01,0518,RDK4,EC45,2500,I90,Blue And Green,No,Houston,Texas
2022-01-01,0520,FDY618,C208,3500,HCF,Green,No,Honolulu,Hawaii
2022-01-01,0527,UAL1231,B777,12000,ZLA,Green,No,Palmsdale,California
2022-01-01,0528,SWA3019,B737,2200,SNA,Green,No,Santa Ana,California
2022-01-01,0619,AIR3,HELO,300,HCF,Green,No,Honolulu,Hawaii
2022-01-02,0045,JIA5048,CRJ9,3500,GSP,Green,No,Greer,South Carolina
2022-01-02,0200,N4665F,P28A,7500,NCT,Green,No,Mather,California
2022-01-02,0300,WDY600,GA6C,33000,ZMA,Red,No,Melbourne,Florida
2022-01-02,0336,SKW5928,CRJ2,1500,SFO,Green,No,San Francisco,California
2022-01-02,0358,N603HH,R22,3000,P80,Green,No,Portland,Oregon
2022-01-02,0433,DAL1278,B712,5000,GSP,Green,No,Greer,South Carolina
2022-01-02,0456,SWA324,B737,1100,LGB,Green,No,Long Beach,California
2022-01-02,0520,SWA1462,B738,5000,LIH,Blue And Purple,No,Lihue,Hawaii
2022-01-02,0550,HAL529,B712,2500,LIH,Green,No,Lihue,Hawaii
2022-01-02,0556,UAL1227,B738,5000,LIH,Green,No,Lihue,Hawaii
2022-01-02,0612,N757QS,CL35,17000,HCF,Green,No,Honolulu,Hawaii
2022-01-02,0705,SKW4767,E75L,8000,NCT,Green,No,Mather,California
2022-01-02,0735,SKW5473,CRJ2,24000,ZOA,Green,No,Fremont,California
2022-01-02,0925,KFS164,LJ35,6000,SCT,Green,No,San Diego,California
2022-01-02,1059,N1544V,BE9L,5800,SAT,Green,No,San Antonio,Texas
2022-01-02,1230,SWA1462,B738,Unk,HCF,Unk,No,Honolulu,Hawaii
2022-01-02,1340,FDX431,DC10,17500,ZLA,Green,No,Palmsdale,California
2022-01-03,0006,SKYT769,C172,1400,DAL,Green,No,Dallas ,Texas
2022-01-03,0039,RPA5727,E170,1700,LGA,Blue,No,New York,New York
2022-01-03,0153,AAL1207,A321,9000,D10,Green,No,Dallas-Fort Worth,Texas
2022-01-03,0206,SKYT525,C172,1500,DAL,Green,No,Dallas ,Texas
2022-01-03,0220,SKW4258,CRJ2,28000,ZMP,Blue,No,Dodge Center,Minnesota
2022-01-03,0227,SKW3524,CRJ9,9000,M98,Green,No,Minneapolis,Minnesota
2022-01-03,0245,N154BF,CRUZ,8500,S56,Green,No,Salt Lake City,Utah
2022-01-03,0408,SKW3213,CRJ7,20000,ZLA,Green,No,Palmsdale,California
